name,full_name,html_url,description,stars,forks,language,created_at,updated_at,open_issues
hub,crowdsecurity/hub,,Main repository for crowdsec scenarios/parsers,162,151,Python,2020-05-05T07:19:59Z,2024-12-02T06:01:27Z,129
leech,kemayo/leech,,Turn a story on certain websites into an ebook for convenient reading,159,25,Python,2013-12-24T08:33:42Z,2024-12-02T06:01:54Z,18
os,armbian/os,,Armbian operating system rolling releases provides automated nightly builds of maintained targets,159,62,Shell,2023-02-20T05:40:00Z,2024-12-02T06:01:27Z,3
MovieDB,WirelessAlien/MovieDB,,ShowCase is a fully open-source android application for exploring and organizing your personal collection of films and television series.,139,5,Kotlin,2024-04-12T17:44:33Z,2024-12-02T06:02:18Z,12
MEV-UniswapBot,engSophia5x3/MEV-UniswapBot,,"MEV Uniswap Bot – A sophisticated bot built for executing MEV-based trading strategies, including sandwich attacks, on Uniswap. Maximizes profitability with high security and compatibility across EVM networks. Perfect for traders and developers looking to capitalize on Ethereum's mempool opportunities and automated trading solutions.",130,98,Python,2024-11-20T08:16:02Z,2024-12-02T06:01:55Z,0
website-hot-hub,cxyfreedom/website-hot-hub,,记录 36Kr、bilibili、抖音、掘金、微信读书平台从 2023-10-25 日至今的热点榜。每小时抓取一次数据，按天归档。,119,19,Python,2023-10-25T14:31:11Z,2024-12-02T06:01:26Z,0
scoop-lemon,hoilc/scoop-lemon,,🍋Yet Another Personal Bucket for Scoop,118,15,PowerShell,2020-07-18T17:35:58Z,2024-12-02T06:01:40Z,1
UninvitedActivity,UninvitedActivity/UninvitedActivity,,An attempt at creating some kind of auto-updating IP address blocklist,115,1,Shell,2023-09-25T10:33:21Z,2024-12-02T06:01:45Z,0
op-analytics,ethereum-optimism/op-analytics,,"Onchain Data, Utilities, References, and other Analytics on Optimism",111,51,Jupyter Notebook,2023-02-08T13:30:13Z,2024-12-02T06:02:41Z,22
phishfort-lists,phishfort/phishfort-lists,,Blacklists and whitelists maintained by PhishFort,106,72,JavaScript,2018-10-04T09:21:24Z,2024-12-02T06:01:58Z,1198
RAPatches,RetroAchievements/RAPatches,,Patch repo for RetroAchievements.,98,54,JavaScript,2021-01-13T06:09:14Z,2024-12-02T06:01:32Z,5
ratpstatus,wincelau/ratpstatus,,"Page de suivi et d'historisation de l'état du trafic des Ⓜ️ Métros, 🚆 RER / Transiliens et 🚈 Tramways d'Île de France",98,4,HTML,2024-04-22T21:47:18Z,2024-12-02T06:02:13Z,2
labyrinth,CERTCC/labyrinth,,"Come inside, and have a nice cup of tea.",98,35,,2021-08-19T18:15:53Z,2024-12-02T06:01:25Z,12
VoiceConversionLab,tarepan/VoiceConversionLab,,Collect Voice Conversion researches,91,7,TypeScript,2019-12-29T20:35:34Z,2024-12-02T06:00:48Z,108
current-song2,Nerixyz/current-song2,,Display the currently playing song/audio.,91,7,TypeScript,2021-08-20T10:02:43Z,2024-12-02T06:01:56Z,30
nicolas-hoizey.com,nhoizey/nicolas-hoizey.com,,"The personal website/blog from Nicolas Hoizey, built with https://pack11ty.dev/",91,35,JavaScript,2014-11-06T20:35:24Z,2024-12-02T06:02:40Z,129
PaiGram,PaiGramTeam/PaiGram,,"telegram robot, query the official genshin information",85,24,Python,2022-04-14T06:44:08Z,2024-12-02T06:01:15Z,19
build-scripts,ppc64le/build-scripts,,Build scripts for open source projects on Linux on POWER LE,79,247,Shell,2017-02-06T23:48:15Z,2024-12-02T06:01:14Z,512
codeaurora-releases-tracker,androidtrackers/codeaurora-releases-tracker,,Tracking CAF new releases,78,4,Python,2018-10-23T14:54:30Z,2024-12-02T06:01:22Z,1
PiRIS,kolei/PiRIS,,Проектирование и Разработка Информационных Систем,78,33,C#,2020-09-01T14:26:36Z,2024-12-02T06:01:14Z,1
Proxy-List-World,themiralay/Proxy-List-World,,ICE Proxy list produces new proxies by collectively scanning the entire open source list in the world. Proxies are updated every 2 - 3 minutes. New Proxy sources will be added day by day. The list is always open source.,75,7,,2023-12-05T20:42:59Z,2024-12-02T06:01:23Z,3
